category,subcategory,name,description,qty,interface_type,i2c_address,voltage_v,unit_cost_cad,supplier_options,priority,status,notes
Electronics - Controller,Microcontroller,Seeed Studio XIAO ESP32-C3,Main compute; BLE + WiFi; USB-C accessible through enclosure wall,1,USB,,3.3,,Seeed / Amazon,critical,unknown - check bench stock,Pin map per WIRING.md: SDA=GPIO6(D4) SCL=GPIO7(D5) SERVO_PWM=GPIO5(D3) LBO_IN=GPIO2(D0)
Electronics - Haptics,Driver,Adafruit DRV2605L,LRA motor driver; onboard 123-effect waveform library; RTP mode for custom waveforms,1,I2C,0x5A,3.3,,Adafruit,critical,unknown - check bench stock,I2C address confirmed via node_commissioning_protocol.md step 7
Electronics - Haptics,Actuator - Channel 1,10mm Coin LRA (class C10-100),Rapid localised frequency-variable haptic; press-fit into enclosure floor,1,,,,,,critical,unknown - check bench stock,Resonant frequency target ~175 Hz per commissioning protocol step 11
Electronics - Actuation,Actuator - Channel 2,SG51R Micro Servo,Drives sliding mass on 30mm linear rail; slow directional spatial expression,1,PWM,,5.2,,,critical,unknown - check bench stock,Sweep range 750-2250us per commissioning protocol step 12; center = 1500us
Electronics - Power,Power management,Adafruit PowerBoost 500C,Single power-management layer; boosts LiPo to 5.2V for servo + XIAO 5V pin; LBO pin gives digital low-battery signal to GPIO2,1,,,5.2,,Adafruit,critical,unknown - check bench stock,Rev A architecture - replaces legacy 100k/100k analog divider (see WIRING.md)
Electronics - Power,Battery,3.7V LiPo battery,Capacity TBD - target full day wear given servo + LRA duty cycle,1,,,3.7,,,critical,OPEN DECISION - capacity not yet chosen,Do not size until servo duty cycle is characterised (WRIST_PUCK.md flags this as TBD)
Electronics - Power,Connector,JST-PH 2-pin,Battery to PowerBoost BAT+/BAT- connection,1,,,,,,critical,unknown - check bench stock,"CAUTION: verify polarity with multimeter before connecting - third-party LiPos frequently swap +/- vs Adafruit convention (WIRING.md critical warning)"
Electronics - Passive,Resistor,4.7k ohm resistor (pull-up),I2C SDA/SCL pull-ups to 3.3V if not present on DRV2605L breakout,2,,,3.3,,,recommended,unknown - check bench stock,Only needed if breakout lacks onboard pull-ups
Electronics - Prototyping,Perfboard,Small prototyping perfboard (~20mm x 15mm),Power + signal distribution hub; GND rail + 5.2V VCC rail,1,,,,,,recommended,unknown - check bench stock,
Mechanical,Rail,30mm linear rail,Sliding mass track fitted inside cylinder,1,,,,,,critical,unknown - check bench stock,Hard geometry constraint per WRIST_PUCK.md
Mechanical,Sliding mass,M5 brass sliding mass,Channel 2 haptic expression weight; weight affects feel character,1,,,,,,critical,OPEN DECISION - weight not yet chosen,Design decision not a lookup - affects haptic grammar feel (WRIST_PUCK.md)
Mechanical,Strap,22mm NATO strap,Wrist/forearm mount attachment,1,,,,,,critical,unknown - check bench stock,Enclosure strap slots sized for 22mm per commissioning protocol step 31
Mechanical,Fasteners/insulation,Heat-shrink tubing assortment,Insulate soldered LRA leads and all perfboard connections,1,,,,,,recommended,unknown - check bench stock,
Mechanical,Fasteners/insulation,Kapton tape,Prevent shorts against 3D-printed enclosure walls / linear rail,1,,,,,,optional,unknown - check bench stock,
3D Printed Parts,Enclosure,Wrist-puck enclosure (current iteration TBD),"68-76mm diameter cylinder, ~22mm tall; strap attachment points; USB-C wall cutout; LRA window",1,,,,,Bambu A1 Mini / PETG,critical,SEE AUDIT - many enclosure iterations exist (v3-v5.5+ decorative variants) with no single file marked current,Geometry ceiling is a hard constraint (WRIST_PUCK.md); validate 76mm vs 68mm comfort before committing
